President: Manny
Vice President: Ted
Supervisor: Wolfgang
Worker: Daniel1
Worker: Daniel2
Worker: Daniel3
Worker: Daniel4
Worker: Daniel5
Supervisor: Pellas
Worker: Bobby1
Worker: Bobby2
Worker: Bobby3
Worker: Bobby4
Worker: Bobby5
Supervisor: Adam
Worker: Joe1
Worker: Joe2
Worker: Joe3
Worker: Joe4
Worker: Joe5
Vice President: David
Supervisor: Smith
Worker: Clara1
Worker: Clara2
Worker: Clara3
Worker: Clara4
Worker: Clara5
Supervisor: Stan
Worker: Nathan1
Worker: Nathan2
Worker: Nathan3
Worker: Nathan4
Worker: Nathan5
Supervisor: John
Worker: Sarah1
Worker: Sarah2
Worker: Sarah3
Worker: Sarah4
Worker: Sarah5
